account_id,account_age_days,credit_limit,home_country,risk_score,is_high_risk,avg_txn_amount,avg_monthly_txns,has_2fa,account_type,total_transactions,total_amount,avg_amount,max_amount,fraud_count,fraud_amount,pct_foreign,avg_velocity,unique_countries,unique_categories,avg_ip_risk,fraud_rate,is_fraudster
ACC0000041,628,4206.95,US,21.2,0,40.89,15.0,1,business,14.0,2056.75,146.91,528.85,0.0,0.0,0.36,1.07,5.0,10.0,20.55,0.0,0.0
ACC0000042,2774,854.55,US,19.5,0,187.4,9.3,0,personal,8.0,867.53,108.44,223.32,1.0,151.19,0.38,1.25,4.0,5.0,32.6,0.125,1.0
ACC0000043,2565,16717.49,US,50.9,0,93.85,26.7,1,personal,21.0,3319.05,158.05,614.07,0.0,0.0,0.43,0.71,7.0,9.0,21.45,0.0,0.0
ACC0000044,1313,12606.44,US,54.9,0,65.3,28.7,0,personal,19.0,5406.45,284.55,1003.98,1.0,105.05,0.21,1.05,4.0,10.0,19.13,0.052632,1.0
ACC0000045,275,1285.18,US,20.9,0,102.88,21.6,0,business,17.0,4556.6,268.04,2414.68,0.0,0.0,0.18,0.88,4.0,10.0,21.03,0.0,0.0
ACC0000046,3543,10016.51,US,26.7,0,37.86,40.1,0,personal,32.0,5366.27,167.7,1363.12,0.0,0.0,0.34,0.97,7.0,11.0,16.02,0.0,0.0
ACC0000047,1643,4884.53,US,13.6,0,70.7,10.5,1,business,6.0,1193.73,198.96,954.36,0.0,0.0,0.5,0.83,4.0,3.0,19.87,0.0,0.0
ACC0000048,3263,4191.29,US,31.1,0,111.02,6.7,1,personal,2.0,1584.13,792.06,1516.65,1.0,1516.65,1.0,3.0,2.0,2.0,46.7,0.5,1.0
ACC0000049,2484,7290.1,US,39.4,0,44.21,12.0,1,personal,11.0,888.56,80.78,268.56,0.0,0.0,0.45,1.36,6.0,8.0,25.61,0.0,0.0
ACC0000050,2847,1218.98,US,25.6,0,142.36,54.0,1,business,51.0,8683.39,170.26,1339.28,0.0,0.0,0.33,0.9,9.0,11.0,22.82,0.0,0.0
ACC0000051,2780,4870.74,US,10.9,0,44.29,48.2,0,personal,41.0,6905.99,168.44,1151.34,0.0,0.0,0.41,0.76,9.0,12.0,22.24,0.0,0.0
ACC0000052,734,5237.42,US,24.5,0,186.66,28.4,0,personal,18.0,2255.37,125.3,502.98,0.0,0.0,0.39,0.83,4.0,8.0,23.17,0.0,0.0
ACC0000053,1347,5241.48,US,6.6,0,46.69,23.9,1,personal,18.0,3426.26,190.35,766.54,1.0,766.54,0.22,1.0,4.0,10.0,27.03,0.055556,1.0
ACC0000054,1719,1645.84,US,13.5,0,64.86,25.6,0,personal,18.0,4606.5,255.92,1259.82,1.0,1259.82,0.11,1.89,3.0,11.0,17.33,0.055556,1.0
ACC0000055,1832,7027.12,US,8.6,0,46.74,65.6,0,personal,30.0,4562.8,152.09,911.21,0.0,0.0,0.13,1.07,5.0,12.0,15.08,0.0,0.0
ACC0000056,188,11474.15,US,11.5,0,54.8,23.3,0,personal,22.0,4872.96,221.5,1056.23,0.0,0.0,0.32,0.5,7.0,11.0,22.51,0.0,0.0
ACC0000057,2008,6808.08,US,9.0,0,147.39,14.6,0,business,11.0,2536.05,230.55,628.4,0.0,0.0,0.09,1.64,2.0,7.0,14.05,0.0,0.0
ACC0000058,588,4091.43,US,23.0,0,186.6,56.1,1,premium,32.0,5473.69,171.05,738.39,1.0,93.79,0.38,0.97,8.0,11.0,17.97,0.03125,1.0
ACC0000059,2721,42244.63,US,3.8,0,142.37,55.9,0,personal,47.0,9276.39,197.37,2669.97,2.0,255.04,0.17,1.09,7.0,13.0,16.53,0.042553,1.0
ACC0000060,2502,2345.7,US,19.5,0,77.98,31.3,0,personal,29.0,2908.51,100.29,502.41,1.0,38.27,0.34,1.07,8.0,11.0,19.56,0.034483,1.0
ACC0000061,3369,9124.89,US,4.2,0,38.08,21.0,1,business,16.0,2588.64,161.79,1285.65,0.0,0.0,0.38,0.69,5.0,9.0,27.66,0.0,0.0
ACC0000062,2726,5970.7,US,19.4,0,51.3,20.6,1,personal,20.0,3352.35,167.62,615.62,0.0,0.0,0.3,0.8,7.0,10.0,20.07,0.0,0.0
ACC0000063,1357,24583.98,US,15.5,0,35.1,21.1,1,personal,19.0,2688.76,141.51,760.37,0.0,0.0,0.37,0.95,8.0,10.0,22.08,0.0,0.0
ACC0000064,3532,6696.9,US,49.3,0,58.33,28.6,0,premium,31.0,4330.86,139.71,1375.65,1.0,49.03,0.32,1.06,7.0,9.0,24.96,0.032258,1.0
ACC0000065,1517,7949.98,US,26.3,0,58.7,21.2,1,business,19.0,3614.02,190.21,830.85,1.0,132.78,0.11,1.05,3.0,9.0,25.61,0.052632,1.0
ACC0000066,1209,7365.58,US,8.6,0,190.76,29.8,1,personal,15.0,2484.89,165.66,907.55,0.0,0.0,0.33,1.47,6.0,7.0,19.34,0.0,0.0
ACC0000067,3308,2107.68,US,42.9,0,188.36,24.0,1,personal,22.0,4869.62,221.35,1617.08,0.0,0.0,0.32,1.45,6.0,9.0,29.21,0.0,0.0
ACC0000068,1371,2452.58,US,16.1,0,80.16,102.7,1,personal,94.0,19844.77,211.11,1140.1,0.0,0.0,0.3,1.0,10.0,13.0,18.81,0.0,0.0
ACC0000069,306,3942.09,US,9.3,0,19.36,26.1,1,business,24.0,4289.54,178.73,1580.39,0.0,0.0,0.46,0.96,7.0,10.0,20.88,0.0,0.0
ACC0000070,1729,10571.39,US,4.4,0,49.13,11.6,0,personal,10.0,1994.56,199.46,714.4,0.0,0.0,0.5,1.6,5.0,7.0,18.55,0.0,0.0
ACC0000071,2910,5922.28,US,15.3,0,123.25,25.7,1,personal,23.0,3806.52,165.5,942.5,0.0,0.0,0.3,0.96,7.0,10.0,20.96,0.0,0.0
ACC0000072,715,4165.59,US,10.5,0,93.72,35.4,0,personal,30.0,7052.16,235.07,2345.51,2.0,958.42,0.23,1.0,5.0,9.0,24.57,0.066667,1.0
ACC0000073,1705,14731.74,US,26.2,0,93.76,8.3,0,business,5.0,377.93,75.59,158.17,0.0,0.0,0.2,0.6,2.0,4.0,21.4,0.0,0.0
ACC0000074,500,1006.32,US,7.1,0,38.99,13.1,0,personal,7.0,305.98,43.71,86.07,0.0,0.0,0.0,1.0,1.0,6.0,10.03,0.0,0.0
ACC0000075,2515,1742.97,US,11.5,0,92.91,40.0,0,personal,33.0,5544.8,168.02,1629.71,0.0,0.0,0.3,1.52,8.0,10.0,21.79,0.0,0.0
ACC0000076,1752,666.95,US,7.9,0,27.41,3.4,1,personal,2.0,203.72,101.86,119.71,0.0,0.0,0.0,0.5,1.0,1.0,30.35,0.0,0.0
ACC0000077,1225,12921.51,US,14.7,0,75.71,13.4,1,personal,7.0,639.89,91.41,183.92,0.0,0.0,0.43,0.71,3.0,6.0,19.16,0.0,0.0
ACC0000078,851,4548.8,US,9.7,0,44.49,45.7,0,personal,45.0,7822.74,173.84,811.29,0.0,0.0,0.27,0.69,7.0,12.0,20.42,0.0,0.0
ACC0000079,2073,10647.0,US,1.9,0,247.49,15.8,1,personal,11.0,1572.07,142.92,331.37,0.0,0.0,0.09,0.82,2.0,7.0,22.38,0.0,0.0
ACC0000080,2454,4503.42,US,16.9,0,36.92,20.0,1,business,15.0,2252.13,150.14,758.97,1.0,240.15,0.13,1.8,3.0,9.0,21.11,0.066667,1.0
ACC0000081,3433,11142.78,US,35.9,0,37.83,11.2,0,personal,11.0,1556.47,141.5,377.64,1.0,194.6,0.27,1.36,4.0,6.0,33.18,0.090909,1.0
ACC0000082,1612,4440.84,US,17.0,0,69.78,39.8,1,personal,33.0,6350.83,192.45,1348.16,0.0,0.0,0.24,1.27,7.0,13.0,17.18,0.0,0.0
ACC0000083,611,6822.14,US,23.1,0,192.95,103.2,1,personal,71.0,9508.63,133.92,788.84,0.0,0.0,0.32,1.11,9.0,10.0,21.41,0.0,0.0
ACC0000084,3044,6068.16,US,4.8,0,33.76,11.3,1,personal,6.0,760.31,126.72,225.66,0.0,0.0,0.67,0.67,5.0,3.0,28.4,0.0,0.0
ACC0000085,2309,6439.24,US,17.5,0,21.43,16.4,0,premium,12.0,1164.19,97.02,285.88,0.0,0.0,0.33,1.83,5.0,7.0,20.65,0.0,0.0
ACC0000086,2564,18916.5,US,30.4,0,51.04,7.7,0,premium,5.0,1056.25,211.25,572.56,0.0,0.0,0.2,0.4,2.0,5.0,11.98,0.0,0.0
ACC0000087,381,1340.05,US,23.3,0,118.88,4.5,0,personal,2.0,260.1,130.05,133.99,0.0,0.0,0.5,1.5,2.0,1.0,15.6,0.0,0.0
ACC0000088,1160,4653.12,US,4.8,0,60.4,4.9,1,business,7.0,1298.32,185.47,440.81,0.0,0.0,0.43,1.14,4.0,5.0,21.96,0.0,0.0
ACC0000089,2809,5758.26,US,5.9,0,114.65,133.4,1,personal,100.0,19876.6,198.77,1868.49,3.0,733.35,0.31,1.21,11.0,13.0,23.99,0.03,1.0
ACC0000090,3042,5108.34,US,6.6,0,31.09,32.0,0,personal,23.0,3753.28,163.19,632.35,0.0,0.0,0.22,0.61,5.0,9.0,14.09,0.0,0.0
ACC0000091,1605,3574.9,US,22.5,0,73.98,24.2,0,premium,22.0,3753.98,170.64,1417.99,0.0,0.0,0.32,0.77,6.0,10.0,23.04,0.0,0.0
ACC0000092,2943,3204.23,US,26.0,0,95.21,33.0,1,premium,24.0,3904.28,162.68,1314.28,0.0,0.0,0.54,1.17,8.0,11.0,24.73,0.0,0.0
ACC0000093,3076,16714.16,US,51.4,0,107.27,7.5,0,business,6.0,516.46,86.08,188.27,0.0,0.0,0.33,0.67,3.0,6.0,29.33,0.0,0.0
ACC0000094,1432,4644.43,US,16.5,0,38.53,21.3,1,business,21.0,3478.78,165.66,1273.33,0.0,0.0,0.24,1.05,4.0,10.0,18.83,0.0,0.0
ACC0000095,3281,34556.72,US,14.6,0,10.26,24.8,1,premium,17.0,4458.59,262.27,1496.14,1.0,37.76,0.35,1.12,5.0,8.0,23.3,0.058824,1.0
ACC0000096,1073,7499.71,US,35.0,0,98.34,31.9,0,personal,27.0,6123.7,226.8,1105.98,1.0,159.16,0.41,1.44,8.0,10.0,24.1,0.037037,1.0
ACC0000097,897,3898.22,US,10.3,0,72.75,35.5,1,business,27.0,3120.02,115.56,865.19,0.0,0.0,0.19,1.26,5.0,9.0,19.88,0.0,0.0
ACC0000098,2500,7647.57,US,31.0,0,88.98,7.3,0,business,6.0,1594.7,265.78,802.25,0.0,0.0,0.5,1.33,3.0,5.0,22.05,0.0,0.0
ACC0000099,2335,5362.29,US,9.9,0,19.28,39.0,1,personal,31.0,8737.62,281.86,1601.76,1.0,117.18,0.26,0.9,6.0,13.0,20.21,0.032258,1.0
ACC0000100,535,14380.08,US,29.5,0,39.24,9.9,1,premium,9.0,1260.87,140.1,611.72,1.0,75.62,0.56,1.44,5.0,6.0,27.49,0.111111,1.0
ACC0000101,3044,1931.06,US,10.9,0,119.65,26.7,1,business,13.0,2652.43,204.03,1816.14,0.0,0.0,0.23,0.62,3.0,8.0,31.7,0.0,0.0
ACC0000102,753,1163.34,US,3.4,0,44.55,32.6,1,personal,25.0,4921.84,196.87,799.35,0.0,0.0,0.24,0.8,6.0,10.0,19.02,0.0,0.0
ACC0000103,2943,6560.26,US,55.1,0,58.24,18.8,0,personal,4.0,1023.43,255.86,431.89,0.0,0.0,0.25,0.5,2.0,4.0,35.83,0.0,0.0
ACC0000104,56,9590.77,US,25.0,0,66.45,21.0,0,personal,12.0,4366.67,363.89,3236.45,1.0,3236.45,0.25,1.0,4.0,8.0,27.14,0.083333,1.0
ACC0000105,2914,6177.84,US,14.1,0,51.53,11.7,1,personal,8.0,619.09,77.39,216.23,0.0,0.0,0.12,0.75,2.0,5.0,24.39,0.0,0.0
ACC0000106,2878,8416.76,US,10.8,0,72.15,45.8,1,personal,20.0,3400.97,170.05,601.93,1.0,529.68,0.4,1.55,6.0,11.0,20.4,0.05,1.0
ACC0000107,2854,7482.7,US,30.2,0,31.43,23.7,1,business,20.0,3697.98,184.9,1634.38,0.0,0.0,0.35,1.4,8.0,9.0,13.08,0.0,0.0
ACC0000108,2436,1503.69,US,27.5,0,46.39,16.9,1,business,15.0,4422.29,294.82,1816.53,1.0,126.01,0.33,1.27,5.0,8.0,21.65,0.066667,1.0
ACC0000109,1737,6154.83,US,6.3,0,101.9,31.7,0,personal,30.0,4891.85,163.06,1542.58,0.0,0.0,0.3,0.93,7.0,11.0,20.27,0.0,0.0
ACC0000110,2582,14092.87,US,9.9,0,34.41,5.6,1,personal,5.0,1322.26,264.45,984.57,0.0,0.0,0.0,0.6,1.0,3.0,19.38,0.0,0.0
ACC0000111,1033,5638.73,US,14.0,0,116.16,18.6,0,personal,10.0,2561.65,256.17,871.91,0.0,0.0,0.3,1.1,4.0,6.0,23.84,0.0,0.0
ACC0000112,2856,1723.36,US,12.6,0,64.59,45.4,0,personal,32.0,6523.13,203.85,1103.63,3.0,628.88,0.19,0.72,6.0,11.0,20.03,0.09375,1.0
ACC0000113,2041,3762.78,US,20.7,0,27.87,177.7,1,business,124.0,17199.67,138.71,1206.79,2.0,319.58,0.28,1.02,10.0,14.0,21.42,0.016129,1.0
ACC0000114,1691,7672.56,US,21.2,0,112.78,30.0,0,personal,19.0,3885.75,204.51,1069.62,0.0,0.0,0.26,1.05,3.0,9.0,18.73,0.0,0.0
ACC0000115,1860,20671.36,US,13.6,0,54.49,31.2,1,business,21.0,2243.46,106.83,1013.97,0.0,0.0,0.33,0.86,6.0,10.0,19.95,0.0,0.0
ACC0000116,2088,1027.54,US,11.3,0,104.73,17.7,1,personal,14.0,3448.74,246.34,1828.6,0.0,0.0,0.21,1.21,4.0,9.0,21.86,0.0,0.0
ACC0000117,164,6561.57,US,22.9,0,62.79,43.1,1,personal,31.0,3172.37,102.33,257.63,1.0,137.86,0.48,1.29,9.0,8.0,22.95,0.032258,1.0
ACC0000118,536,2331.42,US,13.4,0,87.93,14.7,1,personal,14.0,1624.46,116.03,302.97,2.0,365.77,0.43,1.57,6.0,9.0,23.21,0.142857,1.0
ACC0000119,918,7377.44,US,21.3,0,43.8,45.4,0,personal,37.0,7925.2,214.19,2938.51,0.0,0.0,0.3,1.11,7.0,11.0,26.8,0.0,0.0
ACC0000120,444,7865.69,US,7.9,0,38.05,27.8,1,premium,26.0,5120.68,196.95,1270.77,0.0,0.0,0.38,1.46,7.0,13.0,21.18,0.0,0.0
ACC0000121,1621,4078.49,US,18.0,0,31.11,9.5,0,business,2.0,241.28,120.64,137.78,0.0,0.0,0.0,0.0,1.0,1.0,18.75,0.0,0.0
ACC0000122,2449,8145.98,US,13.9,0,60.34,39.1,0,personal,35.0,8065.54,230.44,1809.39,1.0,280.31,0.29,1.06,7.0,13.0,20.41,0.028571,1.0
ACC0000123,2399,12233.29,US,1.6,0,76.78,42.7,1,business,34.0,6301.53,185.34,1049.31,0.0,0.0,0.18,0.76,6.0,10.0,18.81,0.0,0.0
ACC0000124,1735,4308.49,US,14.6,0,86.54,30.5,1,personal,40.0,6549.85,163.75,679.66,0.0,0.0,0.35,1.02,7.0,12.0,20.7,0.0,0.0
ACC0000125,3125,1686.27,US,10.7,0,69.6,34.5,0,personal,29.0,6638.09,228.9,948.6,0.0,0.0,0.1,1.07,4.0,10.0,20.36,0.0,0.0
ACC0000126,2076,15374.39,US,39.5,0,62.83,20.2,0,personal,14.0,1858.61,132.76,373.94,0.0,0.0,0.21,1.14,4.0,8.0,16.67,0.0,0.0
ACC0000127,316,9537.21,US,21.6,0,70.68,10.9,1,personal,13.0,3815.3,293.48,970.32,0.0,0.0,0.23,0.92,4.0,8.0,19.18,0.0,0.0
ACC0000128,2799,7715.64,US,19.5,0,71.05,20.1,1,personal,20.0,3705.69,185.28,716.07,0.0,0.0,0.3,1.0,7.0,11.0,20.59,0.0,0.0
ACC0000129,2110,2827.72,US,41.0,0,47.02,5.8,0,premium,5.0,1787.18,357.44,604.83,0.0,0.0,0.0,0.6,1.0,5.0,23.72,0.0,0.0
ACC0000130,2327,10811.32,US,23.1,0,149.76,54.6,1,personal,43.0,6503.81,151.25,828.61,1.0,135.33,0.4,0.81,10.0,13.0,22.82,0.023256,1.0
ACC0000131,2076,25183.4,US,15.8,0,119.4,25.3,0,personal,25.0,4509.7,180.39,1331.3,0.0,0.0,0.44,1.28,7.0,11.0,24.16,0.0,0.0
ACC0000132,2033,4460.21,US,31.4,0,34.83,34.4,1,personal,24.0,3889.33,162.06,895.59,0.0,0.0,0.08,1.0,3.0,10.0,12.42,0.0,0.0
ACC0000133,357,5300.7,US,15.5,0,62.29,43.1,1,personal,35.0,7530.6,215.16,775.96,0.0,0.0,0.26,1.11,7.0,12.0,25.87,0.0,0.0
ACC0000134,2054,2096.13,US,4.3,0,129.25,27.7,0,personal,16.0,2206.49,137.91,328.84,1.0,298.33,0.31,1.19,4.0,9.0,27.03,0.0625,1.0
ACC0000135,2907,2763.81,US,22.1,0,98.31,18.0,1,business,8.0,1161.98,145.25,517.99,0.0,0.0,0.12,1.0,2.0,7.0,14.71,0.0,0.0
ACC0000136,1130,2080.46,US,24.1,0,54.66,44.5,0,personal,42.0,9022.79,214.83,1866.43,2.0,162.54,0.14,0.93,5.0,11.0,22.01,0.047619,1.0
ACC0000137,2212,5457.02,US,28.9,0,27.07,14.3,0,personal,8.0,726.56,90.82,243.05,0.0,0.0,0.5,0.75,4.0,5.0,23.35,0.0,0.0
ACC0000138,141,3742.0,US,18.2,0,60.31,28.7,1,premium,29.0,5141.45,177.29,544.3,0.0,0.0,0.24,1.21,5.0,12.0,19.09,0.0,0.0
ACC0000139,1287,6622.58,US,12.2,0,43.05,8.7,1,business,7.0,1170.32,167.19,750.75,0.0,0.0,0.57,0.86,5.0,4.0,20.14,0.0,0.0
ACC0000140,1610,2407.83,US,13.3,0,35.65,3.4,0,personal,1.0,173.53,173.53,173.53,0.0,0.0,0.0,0.0,1.0,1.0,6.3,0.0,0.0
ACC0000141,3587,4298.21,US,4.2,0,33.96,11.5,0,personal,8.0,2140.44,267.56,1134.49,0.0,0.0,0.5,1.25,4.0,5.0,16.38,0.0,0.0
ACC0000142,806,2291.98,US,5.1,0,42.0,96.9,1,personal,75.0,13762.13,183.5,1291.41,1.0,538.46,0.37,0.71,9.0,13.0,22.84,0.013333,1.0
ACC0000143,1031,5710.47,US,25.2,0,171.97,19.3,1,business,9.0,1720.39,191.15,809.84,0.0,0.0,0.33,1.89,3.0,6.0,22.17,0.0,0.0
ACC0000144,1508,1331.61,US,18.7,0,54.37,84.7,0,personal,71.0,13989.2,197.03,2370.13,3.0,2799.63,0.27,1.15,11.0,13.0,20.71,0.042254,1.0
ACC0000145,3623,5548.39,US,23.5,0,43.77,19.0,0,personal,16.0,2350.6,146.91,606.65,0.0,0.0,0.19,1.56,3.0,10.0,14.87,0.0,0.0
ACC0000146,3119,3932.44,US,21.7,0,137.98,9.1,0,personal,11.0,938.95,85.36,400.99,0.0,0.0,0.27,0.91,3.0,7.0,24.56,0.0,0.0
ACC0000147,155,5680.37,US,38.5,0,155.22,14.5,1,personal,12.0,2289.3,190.78,627.61,0.0,0.0,0.08,0.67,2.0,7.0,15.03,0.0,0.0
ACC0000148,876,1310.53,US,2.9,0,69.6,45.5,0,personal,27.0,8266.37,306.16,3604.23,1.0,3604.23,0.3,1.07,8.0,12.0,23.49,0.037037,1.0
ACC0000149,3004,8298.02,US,8.8,0,43.29,23.6,0,personal,10.0,728.87,72.89,239.73,0.0,0.0,0.5,0.8,5.0,5.0,21.63,0.0,0.0
ACC0000150,241,3869.98,US,9.1,0,49.67,20.4,0,personal,10.0,1617.74,161.77,638.59,1.0,134.01,0.4,1.2,4.0,8.0,24.75,0.1,1.0
ACC0000151,3127,5847.04,US,35.4,0,120.91,6.1,0,personal,4.0,3048.83,762.21,2710.27,0.0,0.0,0.0,1.75,1.0,4.0,16.88,0.0,0.0
ACC0000152,1048,1100.96,US,39.6,0,67.11,10.1,1,personal,6.0,490.93,81.82,155.79,0.0,0.0,0.5,1.33,4.0,4.0,22.63,0.0,0.0
ACC0000153,3351,1818.58,US,21.3,0,42.43,26.9,1,personal,17.0,1006.29,59.19,149.08,0.0,0.0,0.35,1.06,5.0,7.0,22.98,0.0,0.0
